#time   deltaF       REWdeltaF
350000  3.402323117  3.047325484
351000  3.455877081  3.052013263
352000  3.513261831  3.058513290
353000  3.571236363  3.061958557
354000  3.625340716  3.068168853
355000  3.679878859  3.074279733
356000  3.733294759  3.079179161
357000  3.787321862  3.084045339
358000  3.842236482  3.088550216
359000  3.892781627  3.093396904
360000  3.938178005  3.099352520
361000  3.872049065  3.096555467
362000  3.820237151  3.094932265
363000  3.749190541  3.091816511
364000  3.689032562  3.089143691
365000  3.672786874  3.088870641
366000  3.722681048  3.091872410
367000  3.774003405  3.099538963
368000  3.752496763  3.099261961
369000  3.695278590  3.094236068
370000  3.634644951  3.091455420
371000  3.616490974  3.090572730
372000  3.655549429  3.094301177
373000  3.602098525  3.091118171
374000  3.544026526  3.086065956
375000  3.490860046  3.083260240
376000  3.438662783  3.078848744
377000  3.389822812  3.075774820
378000  3.362992784  3.074754118
379000  3.409472904  3.078367931
380000  3.459782630  3.085968449
381000  3.512358479  3.091371675
382000  3.560226394  3.096426479
383000  3.612014447  3.103155108
384000  3.663118794  3.107747982
385000  3.711418236  3.111599270
386000  3.758732518  3.118210822
387000  3.796991068  3.121771301
388000  3.732600632  3.117638656
389000  3.678570504  3.116174415
390000  3.629485522  3.113448436
391000  3.570973015  3.107742225
392000  3.510138953  3.104071014
393000  3.501807380  3.102685535
394000  3.550135094  3.106202391
395000  3.601106690  3.110277774
396000  3.649190868  3.115094525
397000  3.696323096  3.118837923
398000  3.746048691  3.125314959
399000  3.792283024  3.128693468
400000  3.839982376  3.132774036
401000  3.852789822  3.135714006
402000  3.847798629  3.136402389
403000  3.893627307  3.140706110
404000  3.939342708  3.145362628
405000  3.983314231  3.148952505
406000  4.031138024  3.155189253
407000  4.063475136  3.158237804
408000  4.011524232  3.156979227
409000  4.038634098  3.158796916
410000  4.080821253  3.165259397
411000  4.127583058  3.169077216
412000  4.169343431  3.172857610
413000  4.210153498  3.176925681
414000  4.256602658  3.183178650
415000  4.299332355  3.186298603
416000  4.323838596  3.190655030
417000  4.266328938  3.189337484
418000  4.210091396  3.187443544
419000  4.164665557  3.185098059
420000  4.103237887  3.183577752
421000  4.052649681  3.181183760
422000  3.989596204  3.178665677
423000  3.935684517  3.177340422
424000  3.882717557  3.174567605
425000  3.822446218  3.170650600
426000  3.778398578  3.167859253
427000  3.727913417  3.164407870
428000  3.676365535  3.160249329
429000  3.627180272  3.157087217
430000  3.570109106  3.152547867
431000  3.533719409  3.150669903
432000  3.481662452  3.146100565
433000  3.432688789  3.140690325
434000  3.454432987  3.142865067
435000  3.465284050  3.143733412
436000  3.415767794  3.141683957
437000  3.371607672  3.138144511
438000  3.320928868  3.133321688
439000  3.328958893  3.134779688
440000  3.370733389  3.136332786
441000  3.415237107  3.139480978
442000  3.460225562  3.146352258
443000  3.505925410  3.151647261
444000  3.550535643  3.156934682
445000  3.588075526  3.160588839
446000  3.548118381  3.158178234
447000  3.504329188  3.155045895
448000  3.456202771  3.151473289
449000  3.419357555  3.147771301
450000  3.369071708  3.144640285
451000  3.326742170  3.141003098
452000  3.339936366  3.143370124
453000  3.386083687  3.148528363
454000  3.430716090  3.153093107
455000  3.472105690  3.156436973
456000  3.513197943  3.159739171
457000  3.555301005  3.165125399
458000  3.599466498  3.168735998
459000  3.638754138  3.173466047
460000  3.679668394  3.178236348
461000  3.722550429  3.182648207
462000  3.766138638  3.187037904
463000  3.801075346  3.189959685
464000  3.748615112  3.185798650
465000  3.704183304  3.182257074
466000  3.659167657  3.180409153
467000  3.613761586  3.177675830
468000  3.570754219  3.175688221
469000  3.529944724  3.173031467
470000  3.483768715  3.170885979
471000  3.435488158  3.165173063
472000  3.468004400  3.167446990
473000  3.506382909  3.170069146
474000  3.549975636  3.173803266
475000  3.590780185  3.178116545
476000  3.630924365  3.181519328
477000  3.670120968  3.184349792
478000  3.710329218  3.189521938
479000  3.751450612  3.193226633
480000  3.789818362  3.196857744
481000  3.830400145  3.200201376
482000  3.858270522  3.204943261
483000  3.896665789  3.206909107
484000  3.899908181  3.208435578
485000  3.854545208  3.206707873
486000  3.814175512  3.204914258
487000  3.775006970  3.202587175
488000  3.731053791  3.199204177
489000  3.689884622  3.198457474
490000  3.640809390  3.195864636
491000  3.595880390  3.193959658
492000  3.633504547  3.196998112
493000  3.671899145  3.201193670
494000  3.712136121  3.206632886
495000  3.688778825  3.205181068
496000  3.650039617  3.202597644
497000  3.607809650  3.200726239
498000  3.560912879  3.198768799
499000  3.516364295  3.194723649
500000  3.473011753  3.192052183
501000  3.455194681  3.190083024
502000  3.493057837  3.193691855
503000  3.525031827  3.196471776
504000  3.487501673  3.195007848
505000  3.441270836  3.190118104
506000  3.391285280  3.184716034
507000  3.351913916  3.181761230
508000  3.358192371  3.183659224
509000  3.396367745  3.186939721
510000  3.435836642  3.190752554
511000  3.466976502  3.194550823
512000  3.425663555  3.189978718
513000  3.386839953  3.186505164
514000  3.348447321  3.182264942
515000  3.328817131  3.182753519
516000  3.368448152  3.187613388
517000  3.405570858  3.190026655
518000  3.441109550  3.193006202
519000  3.477405756  3.194878948
520000  3.514309193  3.198651104
521000  3.502658582  3.198004950
522000  3.461553164  3.193611563
523000  3.416900957  3.190293825
524000  3.381009671  3.186216369
525000  3.343589054  3.182668451
526000  3.300302890  3.179338385
527000  3.260831324  3.175903456
528000  3.215822367  3.171958825
529000  3.198663353  3.170235373
530000  3.236480449  3.173442454
531000  3.265756795  3.176590423
532000  3.231449327  3.174933952
533000  3.268164567  3.178632004
534000  3.307446168  3.182619438
535000  3.329814903  3.182916396
536000  3.289504460  3.178961706
537000  3.256734056  3.176248959
538000  3.212829254  3.171375957
539000  3.175395665  3.166677711
540000  3.138193421  3.163315777
541000  3.104052157  3.158710733
542000  3.065696015  3.154750562
543000  3.030786685  3.152317994
544000  2.998409496  3.149374649
545000  2.967983482  3.147672494
546000  2.928630702  3.141504431
547000  2.896818336  3.138338039
548000  2.854390639  3.130919807
549000  2.817875069  3.124206213
550000  2.789227122  3.121272679
551000  2.754598104  3.115763849
552000  2.720642479  3.111633921
553000  2.742612766  3.113190788
554000  2.777979933  3.115011377
